context_term
basophil
classical monocyte
common myeloid progenitor
DN1 thymic pro-T cell
DN3 thymocyte
DN4 thymocyte
erythrocyte
erythroid lineage cell
erythroid progenitor cell
granulocyte
hematopoietic stem cell
immature natural killer cell
innate lymphoid cell
intermediate monocyte
Langerhans cell
leukocyte
liver dendritic cell
macrophage
mast cell
mature conventional dendritic cell
mature NK T cell
memory B cell
mesenchymal stem cell
microglial cell
myeloid dendritic cell
naive B cell
naive regulatory T cell
neutrophil
non-classical monocyte
plasma cell
plasmablast
plasmacytoid dendritic cell
platelet
regulatory T cell
T follicular helper cell
thymocyte
basal cell
bladder urothelial cell
ciliated epithelial cell
club cell
conjunctival epithelial cell
corneal epithelial cell
duct epithelial cell
duodenum glandular cell
enterocyte
epithelial cell of uterus
eye photoreceptor cell
goblet cell
hepatocyte
intestinal crypt stem cell
intestinal enteroendocrine cell
intestinal tuft cell
intrahepatic cholangiocyte
ionocyte
keratinocyte
keratocyte
kidney epithelial cell
large intestine goblet cell
lung ciliated cell
medullary thymic epithelial cell
mesothelial cell
mucus secreting cell
myoepithelial cell
pancreatic A cell
pancreatic acinar cell
pancreatic D cell
pancreatic ductal cell
pancreatic PP cell
paneth cell of colon
pigmented ciliary epithelial cell
pulmonary ionocyte
respiratory goblet cell
retinal pigment epithelial cell
salivary gland cell
secretory cell
small intestine goblet cell
surface ectodermal cell
tracheal goblet cell
type B pancreatic cell
type I pneumocyte
type II pneumocyte
adventitial cell
bronchial smooth muscle cell
cardiac muscle cell
skeletal muscle cell
connective tissue cell
fast muscle cell
fat cell
fibroblast of breast
cardiac fibroblast
melanocyte
mesenchymal stem cell
mesothelial cell
Muller cell
myofibroblast cell
myometrial cell
pancreatic stellate cell
pericyte cell
radial glial cell
retina horizontal cell
retinal bipolar neuron
retinal ganglion cell
Schwann cell
slow muscle cell
smooth muscle cell
stromal cell
tendon cell
tongue muscle cell
blood vessel endothelial cell
capillary endothelial cell
cardiac endothelial cell
endothelial cell of artery
gut endothelial cell
lung microvascular endothelial cell
vein endothelial cell
