,name1,name2
240,LGALS3,IFNG
241,LGALS3,IL5
242,LGALS3,IL3
243,LGALS3,IL17A
244,LGALS3,CCL2
245,LGALS3,LGALS8
246,LGALS3,EGF
247,LGALS3,IL12B
248,LGALS3,CCL11
249,LGALS3,IFITM1
250,LGALS3,ACHE
251,LGALS3,DDX58
252,LGALS3,IFIT1
253,LGALS3,TSG101
254,LGALS3,GAPDH
255,LGALS3,RPS27A
256,LGALS3,CD63
257,LGALS3,CD81
258,LGALS3,CD9
259,LGALS3,HSPA8
260,LGALS3,CCDC8
261,LGALS3,CUL7
262,LGALS3,CUL9
263,LGALS3,HERC2
264,LGALS3,PRNP
265,LGALS3,SPP1
266,LGALS3,IL18
267,LGALS3,MMP9
268,LGALS3,MMP3
269,LGALS3,ELANE
270,LGALS3,MMP7
271,CLEC1A,CLEC7A
272,CLEC1A,CLEC5A
273,CLEC1A,CLEC2D
274,CLEC1A,CLEC6A
275,CLEC1A,CLEC14A
276,CLEC1A,CLEC4D
277,VAPB,FASN
278,VAPB,ABCD3
279,VAPB,RSAD2
280,VAPB,ARF1
281,VAPB,RTN3
282,VAPB,DNAJC15
283,OPRM1,SGTA
284,RABGEF1,STT3A
285,RABGEF1,RBSN
286,RABGEF1,EXT1
287,RABGEF1,RAB5C
288,RABGEF1,EXTL3
289,RABGEF1,WDR7
290,RABGEF1,CR1
291,RABGEF1,CEACAM1
292,RABGEF1,IFI16
293,RABGEF1,NBN
294,RABGEF1,E2F2
295,RABGEF1,GGT5
296,RABGEF1,PRAME
297,RABGEF1,TNFRSF14
298,RABGEF1,APP
299,RABGEF1,NOS2
300,RABGEF1,CXCL6
301,RABGEF1,GBA
302,RABGEF1,PARP4
303,RABGEF1,MYLK
304,RABGEF1,CSF2RB
305,RABGEF1,IGSF3
306,RABGEF1,KIR3DL1
307,RABGEF1,APOL1
308,RABGEF1,APOL3
309,RABGEF1,CROCC
310,RABGEF1,IGLL1
311,RABGEF1,XBP1
312,RABGEF1,ULBP2
313,MADCAM1,CAMKV
314,MADCAM1,PTGER2
315,MADCAM1,ICAM1
316,MADCAM1,VCAM1
317,CLSTN1,G3BP1
318,ACSL3,RPS27A
319,ACSL3,PLIN2
320,ACSL3,ABCG1
321,ACSL3,SAMD8
322,ACSL3,SIX4
323,ACSL3,ALDH5A1
324,ACSL3,AGPS
325,ACSL3,CYCS
326,ACSL3,SCD
327,ACSL3,HNF4A
328,PIK3R4,RB1CC1
329,PRPF18,SRSF2
330,PRPF18,SRSF3
331,PRPF18,SRSF7
332,PRPF18,DDX42
333,PRPF18,SRSF6
334,PRPF18,DDX39B
335,PRPF18,DDX5
336,PRPF18,SRSF4
337,PRPF18,SRSF5
338,PRPF18,PRPF40A
339,GPAT4,GPAT2
340,GPAT4,GPAT3
341,GPAT4,AGPAT4
342,GPAT4,AGPAT5
343,GPAT4,BSCL2
344,G3BP2,G3BP1
345,G3BP2,KHSRP
346,G3BP2,PCBP2
347,G3BP2,PABPC1
348,G3BP2,ELF2
349,G3BP2,HSPA5
350,G3BP2,IFITM2
351,G3BP2,GAPDH
352,G3BP2,MX1
353,G3BP2,EIF2AK2
354,G3BP2,DDX58
355,G3BP2,ISG15
356,G3BP2,IL18
357,G3BP2,KDM6A
358,G3BP2,KDM6B
359,G3BP2,EZH2
360,G3BP2,KMT2B
361,G3BP2,IRF4
362,G3BP2,DNMT3A
363,G3BP2,TRIM25
364,G3BP2,IRF3
365,G3BP2,XRN1
366,G3BP2,IFNAR1
367,G3BP2,MYC
368,G3BP2,PIK3CG
369,G3BP2,AKT1
370,G3BP2,PARP1
371,G3BP2,HSPA4
372,G3BP2,DNAJB6
373,G3BP2,DNAJB1
374,G3BP2,DHX30
375,G3BP2,CBLL2
376,G3BP2,RUVBL2
377,G3BP2,USP7
378,G3BP2,RPS27A
379,G3BP2,DDX6
380,G3BP2,USP10
381,G3BP2,HNRNPF
382,G3BP2,NONO
383,G3BP2,RBMX
384,G3BP2,HNRNPM
385,G3BP2,PATL1
386,G3BP2,LSM1
387,G3BP2,AGO2
388,G3BP2,PKLR
